<<<<<<< HEAD
table_name,companies_id,additional_specs,aoi_inspection,awards,box_build_assembly,burn_in_testing,business_info.company_id,business_info.id,business_info.min_order_qty,business_info.payment_terms,business_info.production_lead_time,business_info.prototype_lead_time,cable_harness_assembly,certificate_number,certification_type,city,clean_room_class,companies.annual_revenue_range,companies.company_name,companies.created_at,companies.dba_name,companies.description,companies.domain,companies.employee_count_range,companies.id,companies.is_active,companies.is_verified,companies.key_differentiators,companies.last_verified_date,companies.logo_url,companies.slug,companies.updated_at,companies.website_url,companies.year_founded,company_id,company_name,conformal_coating,consigned_services,country,created_at,data_confidence,design_services,domain,employees_at_location,engineering_support_hours,expiration_date,facility_name,facility_size_sqft,facility_type,finest_pitch_capability,flying_probe_testing,high_volume_production,id,industry_name,is_primary,is_specialization,issued_date,issuing_body,key_capabilities,key_differentiators,last_verified_date,latitude,lead_free_soldering,location,longitude,low_volume_production,max_pcb_layers,max_pcb_size_inches,medium_volume_production,notable_customers,notable_projects,pcb_assembly_fine_pitch,pcb_assembly_mixed,pcb_assembly_smt,pcb_assembly_through_hole,potting_encapsulation,prototyping,research_date,research_notes,rush_orders,sales_territory,scope,smallest_component_size,state,status,street_address,supply_chain_management,testing_environmental,testing_functional,testing_ict,testing_rf_wireless,turnkey_services,twentyfour_seven,updated_at,verification_data.company_id,verification_data.created_at,verification_data.data_confidence,verification_data.has_logo,verification_data.id,verification_data.internal_notes,verification_data.is_featured_partner,verification_data.profile_completeness,verification_data.public_description,verification_data.recommended_by,verification_data.updated_at,verification_data.venkel_relationship,verification_data.verification_date,verification_data.verification_method,verification_data.verified_by,website,website_url,x_ray_inspection,years_experience,zip_code
companies,,,,,,,,,,,,,,,,,,$25M-50M,"4FRONT Solutions, LLC",2025-09-23T18:19:35.330Z,AccuSpec Electronics,"4FRONT Solutions (formerly AccuSpec Electronics) is a U.S.-based EMS provider specializing in high-reliability electronic assemblies, cable/harness assemblies, system-level assembly and test, fulfillment and depot repair services for industrial, defense, medical, and similarly demanding markets.",4frontsolutions.com,201-500,,TRUE,FALSE,"High-reliability focus, certifications for medical/industrial applications, depot repair & fulfillment services, long history (since 1989) under EMS in Erie, PA. Owned and operated in the U.S.",9/23/2025,,4front-solutions,2025-09-23T18:19:35.330Z,http://4frontsolutions.com,1989,,"4FRONT Solutions, LLC",,,,,Medium,,4frontsolutions.com,,,,,,,,,,,,,,,,,"High-reliability focus, certifications for medical/industrial applications, depot repair & fulfillment services, long history (since 1989) under EMS in Erie, PA. Owned and operated in the U.S.",,,,,,,,,,,,,,,,,,9/23/2025,"Primary facility in Erie, PA (8140 Hawthorne Drive) confirmed. DeLand, FL used as office location per Craft.co. ISO 9001 & ISO 13485 certifications listed on 4FRONT website. Employee range 201-500. No further facilities identified in public sources. :contentReference[oaicite:0]{index=0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://4frontsolutions.com,http://4frontsolutions.com,,,
companies,,,,,,,,,,,,,,,,,,,"A & A Electronics Assembly, Inc.",2025-09-23T18:23:40.835Z,,"Contract electronics/PCB assembly company based in Lake Havasu City, AZ. Offers prototyping, manufacturing, assembly, inspection & test, AOI/X-ray inspection, wave solder, selective soldering, cleaning, and rework services.",aaelect.com,51-100,,TRUE,FALSE,"30,000-sq-ft campus in one compact location with full inspection/test suite including AOI, X-Ray, selective solder, and inline cleaning. Single site reduces logistics between stages.",9/23/2025,,a-a-electronics-assembly,2025-09-23T18:23:40.835Z,https://www.aaelect.com,1982,,"A & A Electronics Assembly, Inc.",,,,,High,,aaelect.com,,,,,,,,,,,,,,,,,"30,000-sq-ft campus in one compact location with full inspection/test suite including AOI, X-Ray, selective solder, and inline cleaning. Single site reduces logistics between stages.",,,,,,,,,,,,,,,,,,9/23/2025,Facility details and capabilities from A&A website facilities page. :contentReference[oaicite:0]{index=0} Address from contact page and Chamber directory. :contentReference[oaicite:1]{index=1} Employee count ~71 from Tracxn. :contentReference[oaicite:2]{index=2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.aaelect.com,https://www.aaelect.com,,,
companies,,,,,,,,,,,,,,,,,,$10M - $25M,Accutronics Inc.,2025-09-23T19:49:29.529Z,,"Accutronics Inc. is a U.S.-based electronic contract manufacturer specializing in NPI through volume production of PCB assemblies, test, and full system integration. The company supports a wide range of industries including industrial products, telecom, communications, defense, aerospace, medical, semiconductor, robotics, transportation, and clean energy.",accutronics.us,50 - 100,,TRUE,TRUE,Specialized in NPI through full production; wide vertical market expertise; flexible EMS provider supporting complex system integration.,9/23/2025,"https://res.cloudinary.com/zoominfo-com/image/upload/w_100,h_100,c_fit/accutronics.us",accutronics-inc,2025-09-23T19:49:29.529Z,http://accutronics.us,2004,,Accutronics Inc.,,,,,High,,accutronics.us,,,,,,,,,,,,,,,,,Specialized in NPI through full production; wide vertical market expertise; flexible EMS provider supporting complex system integration.,,,,,,,,,,,,,,,,,,9/23/2025,"ZoomInfo confirms HQ in Chelmsford, MA with 85 employees, $10M-$25M revenue, founded 2004. Location count listed as 6, but only Chelmsford is publicly verified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://accutronics.us,http://accutronics.us,,,
companies,,,,,,,,,,,,,,,,,,$50M-$100M,Beacon EmbeddedWorks (formerly Logic PD),2025-09-23T19:29:06.353Z,Logic PD,"Beacon EmbeddedWorks, formerly Logic PD, is a leading provider of embedded systems and System on Modules (SOMs). The company offers design, engineering, manufacturing, and lifecycle management services for medical, aerospace, defense, and industrial applications. It is a subsidiary of discoverIE Group PLC.",logicpd.com,100-250,,TRUE,TRUE,"Provider of System on Modules with lifecycle management, in-house US-based manufacturing, subsidiary of discoverIE Group PLC.",9/23/2025,"https://res.cloudinary.com/zoominfo-com/image/upload/w_100,h_100,c_fit/beaconembedded.com",beacon-embeddedworks-logicpd,2025-09-23T19:29:06.353Z,http://logicpd.com,1960,,Beacon EmbeddedWorks (formerly Logic PD),,,,,High,,logicpd.com,,,,,,,,,,,,,,,,,"Provider of System on Modules with lifecycle management, in-house US-based manufacturing, subsidiary of discoverIE Group PLC.",,,,,,,,,,,,,,,,,,9/23/2025,"ZoomInfo enrichment confirms HQ in Eden Prairie, MN with ~190 employees, $50-100M revenue, founded 1960. Acquired by discoverIE Group PLC. Operates under Beacon EmbeddedWorks brand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://logicpd.com,http://logicpd.com,,,
companies,,,,,,,,,,,,,,,,,,Over $5B,Celestica Inc.,2025-09-23T18:14:18.950Z,Celestica,"Celestica is a global leader in design, manufacturing, and supply chain solutions for high-reliability industries. The company partners with the world’s leading brands to solve complex technology challenges and deliver full product lifecycle services from design to after-market support.",celestica.com,"Over 10,000",,TRUE,TRUE,"Global scale with 68 facilities worldwide, serving high-reliability industries with advanced design, manufacturing, and supply chain expertise. Strong certifications and vertical integration.",9/23/2025,"https://res.cloudinary.com/zoominfo-com/image/upload/w_100,h_100,c_fit/celestica.com",celestica,2025-09-23T18:14:18.950Z,https://www.celestica.com,1994,,Celestica Inc.,,,,,High,,celestica.com,,,,,,,,,,,,,,,,,"Global scale with 68 facilities worldwide, serving high-reliability industries with advanced design, manufacturing, and supply chain expertise. Strong certifications and vertical integration.",,,,,,,,,,,,,,,,,,9/23/2025,"ZoomInfo enrichment confirms Celestica as a public company (NYSE: CLS) with $10.5B+ revenue, 21,900+ employees, and 68 locations worldwide. HQ in Toronto. Facilities listed include North America, Europe, and Asia with diverse capabilities. Certifications ISO 9001, AS9100, ISO 13485, ITAR. Industry focus includes aerospace, defense, healthcare, industrial, and communications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.celestica.com,https://www.celestica.com,,,
companies,53eb9751-e991-4a82-9cb3-5d0a4e9b5db1,,,,,,,,,,,,,,,,,$10M-25M,Danlaw Electronics Assembly & Logistics (DEAL),2025-09-23T18:33:45.631Z,Danlaw Technologies India Limited,"Danlaw Technologies India Limited (DEAL) is a public company specializing in connected car, automotive electronics, and contract manufacturing. DEAL provides advanced telematics solutions, embedded software development, PCB assembly, electronics manufacturing, and logistics. Products include telematics control units, diagnostic tools, body control units, and data loggers, serving global automotive OEMs.",danlawtechnologies.com,100-250,53eb9751-e991-4a82-9cb3-5d0a4e9b5db1,TRUE,TRUE,"Strong automotive electronics expertise, in-house R&D, telematics and diagnostic systems, integrated manufacturing & logistics under one roof in Hyderabad.",9/23/2025,"https://res.cloudinary.com/zoominfo-com/image/upload/w_100,h_100,c_fit/danlawtechnologies.com",danlaw-electronics-assembly-logistics,2025-09-23T18:33:45.631Z,https://www.danlawtechnologies.com,1992,,Danlaw Electronics Assembly & Logistics (DEAL),,,,,High,,danlawtechnologies.com,,,,,,,,,,,,,,,,,"Strong automotive electronics expertise, in-house R&D, telematics and diagnostic systems, integrated manufacturing & logistics under one roof in Hyderabad.",,,,,,,,,,Global automotive OEMs,,,,,,,,9/23/2025,"ZoomInfo enrichment confirmed Hyderabad HQ, ~194 employees, revenue $10–25M, founded 1992. Verified facility address in Hyderabad. Products include TCUs, diagnostic tools, body control units, data loggers. Website validated services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.danlawtechnologies.com,https://www.danlawtechnologies.com,,,
companies,6d39f857-547f-403c-9aaf-8f0e8d53ccca,,,,,,,,,,,,,,,,,$50M-$100M,Data Electronic Devices (DataED),2025-09-23T19:15:31.701Z,DataED,"Data Electronic Devices (DataED) is a high-tech, high-mix, any-volume electronics contract manufacturer. Founded in 1980, DataED provides design engineering, PCB assembly, system integration, testing, and supply chain management. It operates ISO-certified facilities including an NPI center at its Salem, NH headquarters.",dataed.com,250-500,6d39f857-547f-403c-9aaf-8f0e8d53ccca,TRUE,TRUE,"Salem, NH headquarters with ISO-certified operations; specialized in high-mix, quick-turn EMS; robust NPI center.",9/23/2025,"https://res.cloudinary.com/zoominfo-com/image/upload/w_100,h_100,c_fit/dataed.com",data-electronic-devices,2025-09-23T19:15:31.701Z,http://dataed.com,1980,,Data Electronic Devices (DataED),,,,,High,,dataed.com,,,,,,,,,,,,,,,,,"Salem, NH headquarters with ISO-certified operations; specialized in high-mix, quick-turn EMS; robust NPI center.",,,,,,,,,,,,,,,,,,9/23/2025,"ZoomInfo enrichment confirms HQ in Salem, NH with 431 employees, $50M-$100M revenue, founded 1980. Other global facilities exist but not publicly verifiable; only Salem site confirmed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dataed.com,http://dataed.com,,,
companies,,,,,,,,,,,,,,,,,,$25M - $50M,"EIT (Electronic Instrumentation & Technology), a Zollner Company",2025-09-23T19:35:16.895Z,EIT Zollner,"EIT (Electronic Instrumentation & Technology) provides electronics manufacturing services, instrumentation, testing, and engineering solutions. Founded in 1977, EIT offers PCB assembly, box build, custom cable and wire harness assemblies, and UV measurement instrumentation. In 2022, EIT became part of Zollner Elektronik AG, Europe's market leader in EMS, expanding its global reach.",eit.com,250 - 500,,TRUE,TRUE,Part of Zollner Elektronik AG; expertise in UV instrumentation; strong EMS and testing capabilities; over 45 years of experience.,9/23/2025,"https://res.cloudinary.com/zoominfo-com/image/upload/w_100,h_100,c_fit/eit.com",eit-zollner,2025-09-23T19:35:16.895Z,https://www.eit.com,1977,,"EIT (Electronic Instrumentation & Technology), a Zollner Company",,,,,High,,eit.com,,,,,,,,,,,,,,,,,Part of Zollner Elektronik AG; expertise in UV instrumentation; strong EMS and testing capabilities; over 45 years of experience.,,,,,,,,,,,,,,,,,,9/23/2025,"ZoomInfo confirms HQ in Leesburg, VA with 345 employees, $25M-$50M revenue, founded 1977. EIT was acquired by Zollner in 2022 and integrated into global EMS network. Location count listed as 33 globally but only HQ is publicly confirmed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.eit.com,https://www.eit.com,,,
companies,,,,,,,,,,,,,,,,,,$1M-$5M,GI Circuits Inc.,2025-09-23T18:49:09.140Z,,"GI Circuits Inc. specializes in high-quality electronic manufacturing solutions tailored for OEMs, electrical engineers, and innovators. With decades of industry experience, the company provides PCB assembly, cable harnesses, and complete device assembly across medical, defense, and IoT markets. Its production facilities emphasize precision, flexibility, and scalability, ensuring ISO 9001:2015 compliance.",gicircuits.com,10/20/2025,,TRUE,TRUE,"Specialized in serving small-to-medium OEM projects; ISO 9001:2015 certified; flexible manufacturing for medical, defense, and IoT sectors.",9/23/2025,"https://res.cloudinary.com/zoominfo-com/image/upload/w_100,h_100,c_fit/gicircuits.com",gi-circuits,2025-09-23T18:49:09.140Z,https://www.gicircuits.com,2008,,GI Circuits Inc.,,,,,Medium,,gicircuits.com,,,,,,,,,,,,,,,,,"Specialized in serving small-to-medium OEM projects; ISO 9001:2015 certified; flexible manufacturing for medical, defense, and IoT sectors.",,,,,,,,,,,,,,,,,,9/23/2025,"ZoomInfo enrichment confirms HQ in Stafford, TX, ~15 employees, $1M-$5M revenue, founded 2008. Location count listed as 3 (HQ + 2 additional U.S. facilities). Details limited on secondary sites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.gicircuits.com,https://www.gicircuits.com,,,
companies,,,,,,,,,,,,,,,,,,$250M - $500M,"Kitron Technologies, Inc. (APITech)",2025-09-23T19:49:37.031Z,APITech,"Kitron Technologies, Inc. operated as part of API Technologies (APITech), a global provider of RF, microwave, electromagnetic, and power solutions for military, aerospace, medical, and commercial industries. Founded in 1981 and headquartered in Marlborough, MA, APITech delivered EMI filtering, power distribution, RF/microwave components, and custom engineering solutions. The company is now part of Spectrum Control Inc.",apitech.com,"1,000 - 5,000",,FALSE,TRUE,Strong expertise in RF/microwave and EMI filtering for defense and aerospace; now part of Spectrum Control Inc.,9/23/2025,"https://res.cloudinary.com/zoominfo-com/image/upload/w_100,h_100,c_fit/apitech.com",kitron-technologies-apitech,2025-09-23T19:49:37.031Z,http://apitech.com,1981,,"Kitron Technologies, Inc. (APITech)",,,,,High,,apitech.com,,,,,,,,,,,,,,,,,Strong expertise in RF/microwave and EMI filtering for defense and aerospace; now part of Spectrum Control Inc.,,,,,,,,,,,,,,,,,,9/23/2025,"ZoomInfo confirms Marlborough, MA HQ with 1,262 employees, $250M-$500M revenue, founded 1981. Kitron Technologies operated under API Technologies (APITech), now Spectrum Control Inc. Listed as defunct/absorbed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://apitech.com,http://apitech.com,,,
