id,company_name,dba_name,website_url,year_founded,employee_count_range,annual_revenue_range,slug,logo_url,description,key_differentiators,is_active,is_verified,last_verified_date,created_at,updated_at
0086c931-2e03-4ba2-8925-d9da5f6535c1,Teledyne Advanced Electronic Solutions,Teledyne AES,https://www.teledyneaes.com,1966.0,500-1000,$150M+,teledyne-advanced-electronic-solutions,,Company,DoD-trusted provider of high-complexity circuit card and microelectronic assemblies for space and defense programs with full lifecycle sustainment services.,True,False,,2025-08-06 23:47:50.021253+00,2025-08-06 23:47:50.021253+00
046fd4eb-f45c-470c-9850-b6659f3eb8cc,"Precise Connections, Inc.",Precise Connections,https://www.preciseconnections.com,2003.0,50-150,$10M-50M,precise-connections-inc,,"Precise Connections is the logical choice for electronic manufacturing services. We handle all aspects of electronics development and fabrication, including prototyping, PCB and PCA assembly, and more. Let us help you turn vision 1.0 into version 1.0.",Logical choice for end-to-end electronics development & fabrication in Texas with ISO 9001:2015 certification.,True,False,,2025-08-06 23:47:50.021253+00,2025-08-06 23:47:50.021253+00
0a0c4bd8-51d5-4b08-9577-a8c972d5aff2,"Rocket EMS, Inc.",Rocket EMS,https://www.rocketems.com/,2011.0,150-500,$10M-50M,rocket-ems-inc,,"Rocket EMS provides Rapid NPI PCBA Prototyping, Allegro Layout, High Quality PCBA, 24-48 hour turns, Extraordinary Quality & Service.",DoD-trusted provider of high-complexity circuit card and microelectronic assemblies for space and defense programs with full lifecycle sustainment services.,True,False,,2025-08-14 19:37:09.710421+00,2025-08-14 19:37:09.710421+00
0c2cecf0-7c6f-4ed9-bebe-09416c648438,"Compal USA (Indiana), Inc.",Compal USA,https://compalusa.com/,2010.0,<50,$10M-50M,compal-usa-indiana-inc,,"Contract manufacturing by HANA Technologies. Electronics CM source for wafer processing, IC packaging and testing, RFID inlays and tags, camera module assemblies, PCBA, LCD displays, and other contract manufacturing and assembly. OEM production volume,...",DoD-trusted provider of high-complexity circuit card and microelectronic assemblies for space and defense programs with full lifecycle sustainment services.,True,False,,2025-08-14 19:37:09.710421+00,2025-08-15 19:59:58.816508+00
0e975f3f-a787-4045-aef1-3c5798547462,Velectron Corp.,Velectron,http://velectroncorp.net,2001.0,<50,<$10M,velectron-corp,,"We manufacture small electronic parts for laptops, memory cards, phones and more. We fill orders of various quantities.",DoD-trusted provider of high-complexity circuit card and microelectronic assemblies for space and defense programs with full lifecycle sustainment services.,True,False,,2025-08-14 19:37:09.710421+00,2025-08-14 19:37:09.710421+00
16020bb9-3491-4518-83a3-a29f7176ac9b,Sanmina Corporation,Sanmina,https://www.sanmina.com/,1980.0,1000+,$150M+,sanmina-corporation,,"Sanmina Corporation is an American electronics manufacturing services provider headquartered in San Jose, California that serves original equipment manufacturers in communications and computer hardware fields.",DoD-trusted provider of high-complexity circuit card and microelectronic assemblies for space and defense programs with full lifecycle sustainment services.,True,False,,2025-08-14 19:37:09.710421+00,2025-08-14 19:37:09.710421+00
222df61b-dcce-4db4-8203-0648037249c8,"Visual Communications Company, LLC",Teledyne AES,https://visual-communications-company-llc.invalid,1989.0,50-150,$50M-150M,visual-communications-company-llc,,"Contract manufacturing by HANA Technologies. Electronics CM source for wafer processing, IC packaging and testing, RFID inlays and tags, camera module assemblies, PCBA, LCD displays, and other contract manufacturing and assembly. OEM production volume,...",DoD-trusted provider of high-complexity circuit card and microelectronic assemblies for space and defense programs with full lifecycle sustainment services.,True,False,,2025-08-15 19:59:58.816508+00,2025-08-15 19:59:58.816508+00
2c9f343e-c9fe-422b-9c2d-c6a298db46b1,"Hana Microdisplay Technologies, Inc.","Hana Technologies, Inc.",https://www.hanagroup.com,1999.0,150-500,$50M-150M,hana-microdisplay-technologies-inc,,"Contract manufacturing by HANA Technologies. Electronics CM source for wafer processing, IC packaging and testing, RFID inlays and tags, camera module assemblies, PCBA, LCD displays, and other contract manufacturing and assembly. OEM production volume,...",Solon plant integrates roll‑to‑roll RFID and LC/MEMS microdisplay production within a single facility.,True,False,,2025-08-06 23:47:50.021253+00,2025-08-06 23:47:50.021253+00
3059be66-cc01-48ed-92f5-879d4939567e,"Manufacturing Services, Inc.",MSI,https://www.mfg-services.com/,1979.0,50-150,$10M-50M,manufacturing-services-inc,,"Manufacturing Services, Inc. is a full-service electronic design and manufacturing company located in Kennewick, WA. Since 1979, we have been delivering quality products and services for our clients. From product design through box build and test, we have the expertise and resources to move your products to market.",DoD-trusted provider of high-complexity circuit card and microelectronic assemblies for space and defense programs with full lifecycle sustainment services.,True,False,,2025-08-14 19:37:09.710421+00,2025-08-14 19:37:09.710421+00
33a55c9d-b523-40ec-abef-96f316232d52,Opti-Luxx Inc.,Teledyne AES,https://opti-luxx-inc-.invalid,1989.0,<50,$50M-150M,opti-luxx-inc-,,"Contract manufacturing by HANA Technologies. Electronics CM source for wafer processing, IC packaging and testing, RFID inlays and tags, camera module assemblies, PCBA, LCD displays, and other contract manufacturing and assembly. OEM production volume,...",DoD-trusted provider of high-complexity circuit card and microelectronic assemblies for space and defense programs with full lifecycle sustainment services.,True,False,,2025-08-15 19:59:58.816508+00,2025-08-15 19:59:58.816508+00
